time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
2.9375,2.774070885846169,1.3861316000438364,2.557552714085548,0.037030820949305744,-0.07185241315824543,-0.01601919823526217,1.5585079515115496,0.7777374571244128,1.0854705167613383,0.06927726312147381,-0.13262437431660734,-0.012459730048625132
3.0,2.870078732744186,1.4340464392700112,2.624804981028597,0.041235216374601355,-0.07988269604734162,-0.01680701837840334,1.5129394327616343,0.7551388957984735,1.0665252742245361,0.06526367724525252,-0.12434607864577167,-0.012738825672414899
3.0625,2.963091422869412,1.4804759114951922,2.6908556743608125,0.04517213619228118,-0.0873660648320356,-0.017599468905680718,1.4627177782524585,0.7302327422388384,1.0470180152064112,0.060716160981030734,-0.1151230885047574,-0.012607253711383333
3.125,3.052828444994912,1.525280868141358,2.7556733894521406,0.048808505225156874,-0.09424505719121856,-0.01837040749970334,1.4081785310236614,0.7031841491928207,1.0270700368489534,0.05564441448251795,-0.10500598028077769,-0.012050137040647467
3.1875,3.139031289127727,1.5683329801293215,2.8192342138859074,0.05211206170135432,-0.1004655819489578,-0.019093109398735722,1.349689913069869,0.67417404787707,1.0067998309029529,0.050064871636918196,-0.09405205097463194,-0.01106374981279113
3.25,3.2214654590672462,1.6095157087727612,2.8815214878326394,0.0550518140032221,-0.10597734725833306,-0.01974098675442564,1.2876518248998796,0.6433986419943644,0.9863209654452169,0.04400183090287528,-0.0823255794806232,-0.009656225153031618
3.3125,3.299922414102713,1.64872524177621,2.942525419459144,0.05759856223993365,-0.11073430608047463,-0.02028834434050055,1.2224945725272105,0.6110687948493294,0.9657395614009672,0.037488391699849584,-0.06989811908075899,-0.007848007310506803
3.375,3.374221420822118,1.6858713867972177,3.0022425298733233,0.059725470348920034,-0.1146951208850509,-0.020711154030870607,1.15467725789342,0.577409281758778,0.9451513597044748,0.030567128635703742,-0.05684882034599935,-0.005671996933806252
3.4375,3.444211291890928,1.7208784131970183,3.0606749022384814,0.06140867050843126,-0.11782364946662607,-0.020987827406646904,1.0846857652563346,0.5426578768394253,0.9246383878465723,0.023290446366403702,-0.04326478419542968,-0.0031733432535774766
3.5,3.5097719843808393,1.7536858305878023,3.1178292107282517,0.06262787857332781,-0.12008945371317854,-0.021099963208828003,1.0130302743076671,0.5070642406128653,0.9042652505674473,0.01572057465248634,-0.029241443461971495,-0.00040884515894260617
3.5625,3.570816025903505,1.7842490906228377,3.1737155071374903,0.06336699739318702,-0.12146833305387572,-0.021033044359259248,0.9402422310758951,0.47088857286597446,0.8840750888328679,0.007929185287709254,-0.014882971084992909,0.002554064333499662
3.625,3.6272897325744973,1.8125401962157761,3.22834574640889,0.06361468454876641,-0.12194288415608669,-0.02077705813461002,0.8668707104591674,0.43439999408839103,0.8640852733988421,-3.360717456424625e-06,-0.0003027117548066008,0.005638760910710259
3.6875,3.6791741788663406,1.8385482000802749,3.281732037251914,0.06336486247406573,-0.1215030883150171,-0.020327013010199468,0.7934781098769021,0.3978746188190198,0.844282924132682,-0.007989098091844516,0.014376363877544015,0.008761290475309836
3.75,3.7264858759012607,1.8622795722335497,3.3338846105174986,0.06261715223070559,-0.12014692778090413,-0.019683326697789452,0.7206351225645529,0.36159328577642236,0.8246203715193641,-0.01593380649111,0.029021187878675293,0.01183262576804694
3.8125,3.7692771119016477,1.8837584140097225,3.3848095061030863,0.06137721731392216,-0.11788103208656958,-0.01885206202531786,0.6489149516131514,0.32583891293039,0.8050107033570552,-0.02373852857383282,0.043488106939972654,0.014761273902778234
3.875,3.8076359065927616,1.9030264943046935,3.43450598887803,0.05965701057739273,-0.11472135533156987,-0.017844990488726224,0.5788867423564,0.29089345118325294,0.7853235642477686,-0.0313011382943012,0.05762238052604708,0.017456177513097765
3.9375,3.8416855305797593,1.9201430823701475,3.4829637153266626,0.05747492529824296,-0.11069388524082137,-0.016679467296969053,0.511108231023133,0.2570344182982551,0.7653813984527913,-0.038517825081009184,0.07125766660457922,0.019829839530489227
4.0,3.871583541335064,1.9351845506534615,3.5301596851559767,0.0548558600351837,-0.10583538473771083,-0.01537810637897076,0.4461176315856955,0.22453100544824345,0.7449563464953683,-0.04528435310705155,0.08421549602489,0.021801593315663195
4.0625,3.897520289650452,1.948243721121281,3.576055025797374,0.051831215638208056,-0.1001941667024671,-0.013968248891928848,0.3844248100205835,0.1936397624355409,0.7237680221560945,-0.05149695908139393,0.09630473661023078,0.023300934592080276
4.125,3.9197168544170484,1.9594289293935248,3.620591672321181,0.04843885085573641,-0.09383090250149191,-0.012481224117319105,0.3265018251530416,0.16459988431420522,0.701482409088786,-0.05705276759473409,0.10732104855168127,0.024270827943392376
