time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
2.6750000000000003,1.8643148852095016e-11,1.8643146921146773e-11,-31.520528106586237,-2.8375570446509275e-11,2.8375573895762784e-11,4.434366326105906e-19,2.691037559956582e-11,2.6910372442358868e-11,-23.56674999130443,-1.8528083753216602e-11,1.8528085400722878e-11,4.559161321739181e-19
2.7,1.9324824006173647e-11,1.9324821995212688e-11,-32.11244998137015,-2.8839994096551116e-11,2.883999758909812e-11,4.549244105751008e-19,2.7625571843620926e-11,2.7625568599637042e-11,-23.78699999140843,-1.8625808250135205e-11,1.8625810066107153e-11,4.631184432794831e-19
2.725,2.0024524454518376e-11,2.0024522361361462e-11,-32.70987810615672,-2.9306843798780704e-11,2.930684733829864e-11,4.6659244074156545e-19,2.8352409249690102e-11,2.835240591779822e-11,-24.007249991518055,-1.872216792823456e-11,1.8722169869932376e-11,4.70330280622008e-19
2.75,2.0742541980816807e-11,2.0742539803251127e-11,-33.31281248094612,-2.977608544971236e-11,2.977608904066418e-11,4.784408602013881e-19,2.909094804666266e-11,2.9090944625637826e-11,-24.22749999163341,-1.881716414630068e-11,1.8817166319315522e-11,4.775497922053672e-19
2.7750000000000004,2.147916986382693e-11,2.1479167599607668e-11,-33.92125310573847,-3.024768498558276e-11,3.0247688631677336e-11,4.904698362972103e-19,2.984124761143808e-11,2.984124409993902e-11,-24.44774999175461,-1.8910798723323328e-11,1.8910800961724937e-11,4.847744424128859e-19
2.8000000000000003,2.2234702856089512e-11,2.2234700502937273e-11,-34.535199980533925,-3.072160838303159e-11,3.072161208602937e-11,5.026794819371156e-19,3.060336646989703e-11,3.060336286652333e-11,-24.667999991881757,-1.9003073072584888e-11,1.9003075386429453e-11,4.920025814808201e-19
2.825,2.3009437162664768e-11,2.3009434718264943e-11,-35.154653105332635,-3.1197821659412056e-11,3.1197825418684896e-11,5.150698322664352e-19,3.1377362297899134e-11,3.137735860122515e-11,-24.888249992014977,-1.9093989037854245e-11,1.9093991226013265e-11,4.992316253943008e-19
2.85,2.3803670419894945e-11,2.3803667881897616e-11,-35.77961248013476,-3.1676290873955975e-11,3.167629468598464e-11,5.27641062746767e-19,3.216329192230787e-11,3.2163288130968754e-11,-25.10849999215438,-1.918354812565932e-11,1.918355015796345e-11,5.064594123683695e-19
2.875,2.461770167419242e-11,2.461769904021505e-11,-36.41007810494044,-3.215698212454879e-11,3.215698598678814e-11,5.403927742302701e-19,3.296121132204345e-11,3.2961207434757174e-11,-25.32874999230009,-1.9271751921769864e-11,1.927175390632453e-11,5.136835165232141e-19
2.9000000000000004,2.5451831360854418e-11,2.5451828628482674e-11,-37.04604997974984,-3.263986155218374e-11,3.263986546366019e-11,5.533249730909408e-19,3.377117562916561e-11,3.377117164468954e-11,-25.548999992452238,-1.9358602289029707e-11,1.9358604243433277e-11,5.209019371971384e-19
2.9250000000000003,2.6306361282905434e-11,2.6306358449694273e-11,-37.68752810456313,-3.312489534348021e-11,3.312489930409977e-11,5.66437578369562e-19,3.459323912998636e-11,3.4593235047093066e-11,-25.76924999261095,-1.944410101468545e-11,1.944410299173314e-11,5.281125501738959e-19
2.95,2.7181594589968095e-11,2.7181591653441662e-11,-38.33451247938048,-3.3612049731614305e-11,3.361205374181735e-11,5.797328442614139e-19,3.5427455266214624e-11,3.542745108366902e-11,-25.989499992776356,-1.9528250036040202e-11,1.9528252025680218e-11,5.3531864701347875e-19
2.975,2.807783575716199e-11,2.807783271481341e-11,-38.98700310420204,-3.4101290997707074e-11,3.41012950580598e-11,5.932055865556432e-19,3.627387663613349e-11,3.6273872352689425e-11,-26.2097499929486,-1.9611051251375603e-11,1.9611053273715827e-11,5.425066016930722e-19
3.0,2.899539056403403e-11,2.8995387413324997e-11,-39.64499997902799,-3.4592585473080224e-11,3.459258958298593e-11,6.068574435932877e-19,3.713255499581174e-11,3.713255061021656e-11,-26.429999993127815,-1.969250677847327e-11,1.9692508720378295e-11,5.496788377574602e-19
3.0250000000000004,2.9934566073517777e-11,2.993456281187938e-11,-40.30850310385852,-3.5085899540748565e-11,3.5085903697096534e-11,6.206887914401181e-19,3.8003541260350206e-11,3.80035367713987e-11,-26.65024999331416,-1.9772618634999077e-11,1.9772620408475758e-11,5.568345507452243e-19
3.0500000000000003,3.089567061092573e-11,3.089566723575969e-11,-40.97751247869379,-3.558119963055763e-11,3.5581203832719826e-11,6.346911482131944e-19,3.8886885505165545e-11,3.888688091171911e-11,-26.870499993507774,-1.985138854972613e-11,1.9851390441380863e-11,5.639705889172342e-19
3.075,3.187901374297359e-11,3.187901025165288e-11,-41.65202810353399,-3.6078452222424373e-11,3.607845647555506e-11,6.488791866180686e-19,3.978263696731218e-11,3.978263226816933e-11,-27.09074999370882,-1.9928818799623328e-11,1.992882098544091e-11,5.71077946479624e-19
3.1,3.288490625683779e-11,3.288490264670355e-11,-42.332049978379324,-3.6577623860074454e-11,3.6577628166279425e-11,6.632464469883323e-19,4.069084404684271e-11,4.069083924068078e-11,-27.310999993917456,-2.0004912212378855e-11,2.0004914272506344e-11,5.7816777755956185e-19
